Id,Ref.,Label,Type,For sale,For purchase,Description,
1,DP610,Silver Liberty 20oz ,0,1,1,Digital Print,
2,LE604,Black Liberty 20oz,0,1,1,Laser Etched,
3,LE701,White Napa 12oz,0,1,1,Laser Etched,
4,606B,Black Liberty 20oz - Blank,0,1,1,,
5,609B ,White Liberty 20oz - Blank,0,1,1,,
6,612B ,Silver Liberty 20oz - Blank,0,1,1,,
7,615B ,Royal Blue Liberty 20oz - Blank,0,1,1,,
8,618B ,Red Liberty 20oz - Blank,0,1,1,,
9,703B,White Napa 12oz - Blank,0,1,1,,
10,706B,Silver Napa 12oz - Blank,0,1,1,,
11,903B,Black Tundra 26oz - Blank,0,1,1,,
12,906B,White Tundra 26oz - Blank,0,1,1,,
37,GL105,Adventures - White 20oz,0,1,1,,
38,GL106,Life is Better - Royal Blue 20oz,0,1,1,,
39,GL107,USA Flag - Red 20oz,0,1,1,,
40,GL108,Eat Sleep Hunt - Black 20oz,0,1,1,,
41,GL109,"But First, Coffee - White 20oz",0,1,1,,
42,GL110,Fishing Life - Black 20oz,0,1,1,,
43,GL203,Good Vibes - White 12oz,0,1,1,,
44,GL204,Compass - White 12oz,0,1,1,,
45,GP506,Sun and Moon - Silver 20oz,0,1,1,,
46,GP507,Golf - Silver 20oz,0,1,1,,
47,GP508,"Live, Laugh, Love - Silver 20oz",0,1,1,,
48,GP509,Go Pink - Silver 20oz,0,1,1,,
49,GP608,Flamingo's - Silver 12oz,0,1,1,,
50,GP609,Floral - Silver 12oz,0,1,1,,
51,GP610,Paw Prints - Silver 12oz,0,1,1,,
52,GP611,Give Thanks - Silver 12oz,0,1,1,,
58,SHS04 ,Arkansas Home - Silver 20oz,0,1,1,,
59,SHS10 ,Georgia Home - Silver 20oz,0,1,1,,
60,SHS15,Iowa Home - Silver 20oz,0,1,1,,
61,SHS18 ,Louisiana Home - Silver 20oz,0,1,1,,
62,SHS43,Texas Home - Silver 20oz,0,1,1,,
63,DI001,Donation Item,0,1,1,,
64,LE501,Black Taylor 20oz,0,1,1,Laser Etched,
65,LE502,Black Taylor 20oz,0,1,1,Laser Etched,
66,503B,Black Taylor 20oz  -  Blank,0,1,1,,
67,LE605,Black Liberty 20oz,0,1,1,Laser Etched,
68,LE607,White Liberty 20oz,0,1,1,Laser Etched,
69,LE608,White Liberty 20oz,0,1,1,Laser Etched,
70,DP611,Silver Liberty 20oz ,0,1,1,Digital Print,
71,LE613,Royal Blue Liberty 20oz  ,0,1,1,Laser Etched,
72,LE614,Royal Blue Liberty 20oz  ,0,1,1,Laser Etched,
73,LE616,Red Liberty 20oz  ,0,1,1,Laser Etched,
74,LE617,Red Liberty 20oz  ,0,1,1,Laser Etched,
