Tag/category id,Label,Type,Description,Parent tag/category,Label of parent tag/category,
1,BLANK,0,,0,,
2,CUSTOM,0,,0,,
3,HOME SERIES,0,,0,,
4,LIFESTYLE,0,,0,,
5,MLB,0,,0,,
6,NCAA,0,,0,,
7,NHL,0,,0,,
8,Brochure,0,,0,,
9,Cameron's,0,,0,,
10,Cards,0,,0,,
11,Data Entry,0,,0,,
12,Fee,0,,0,,
13,Garbage Bags,0,,0,,
14,Hammond's,0,,0,,
15,Ranch House,0,,0,,
16,Savings Pass,0,,0,,
17,Tickets,0,,0,,
18,Tumbler,0,,0,,
19,We Help Two,0,,0,,
20,Willey Great,0,,0,,
21,Coffee,0,,9,Cameron's,
22,Cookies,0,,14,Hammond's,
23,Snack Mix,0,,14,Hammond's,
24,Popcorn,0,,14,Hammond's,
25,Snack Sticks,0,,15,Ranch House,
26,Jerky,0,,15,Ranch House,
27,Sausage,0,,15,Ranch House,
28,Popcorn,0,,20,Willey Great,
29,Socks,0,,19,We Help Two,
30,Blank,0,,18,Tumbler,
31,Custom-Helix,0,,18,Tumbler,
32,Custom-Laser,0,,18,Tumbler,
33,Donation,0,,18,Tumbler,
34,Home,0,,18,Tumbler,
35,Lifestyle,0,,18,Tumbler,
36,MLB,0,,18,Tumbler,
37,NCAA,0,,18,Tumbler,
38,Custom Home Series,0,,0,,
39,Pop Culture,0,,0,,
